Person,Sentence
MW,"Here lies Dobby, a free elf."
MW,Hufflepuff is represented by a badger.
MW,Slytherin is represented by a snake.
MW,Gryffindor is respresented by a lion.
MW,Ravenclaw is represented by a raven.
MW,Dumbledore dies.
MW,Sirius Black dies.
MW,Hagrid is the groundskeeper.
MW,Did Draco Malfoy go to prison?
MW,The Patronus charm defeats Dementors.
MW,Did the Death Eaters go to Azkaban?
MW,What is your wand made out of?
MW,Harry killed the Basilisk.
MW,They went to Hogsmeade village.
MW,Neville Longbottom forgets things a lot.
MW,Remus Lupin is a werewolf.
MW,Harry's father was an animagus.
MW,James Potter turned into a stag.
MW,"Harry was saved by Firenze, a centaur."
MW,Drinking unicorn blood can save your life.
MW,Dumbledore and Grindelwald were friends.
MW,Harry won the Triwizard Tournament.
MW,"In the tournament, Harry had to steal a dragon egg."
MW,Ron's brother trains dragons.
MW,Hermione tries to liberate the elves.
MW,Professor McGonagall is head of Gryffindor house.
MW,Professor Snape is head of Slytherin house.
MW,Professor Sprout is head if Hufflepuff house.
MW,Professor Flitwick is head of Ravenclaw house.
MW,Salazar Slytherin is one of the founders of Hogwarts.
MW,Godric Gryffindor is one of the founders of Hogwarts.
MW,Rowena Ravenclaw is one of the founders of Hogwarts.
MW,Helga Hufflepuff is one of the founders of Hogwarts.
MW,Salazar Slytherin built the Chamber of Secrets.
MW,Some students are Muggle-born.
MW,Harry flew on a Nimbus 2000.
MW,"When Harry's broom broke, he got a Firebolt."
MW,"Amulets are effective against werewolves, dementors and inferi."
MW,Harry was left lots of Galleons by his parents.
MW,In Quidditch there are three seekers.
MW,A seeker can end a Quidditch match by catching the golden snitch.
MW,Beaters hit Bludgers with short baseball bats.
MW,The Keeper guards the goal posts.
MW,The Golden Snitch is worth one hundred and fifty points.
MW,There are two Bludgers in the game.
MW,Chasers try to throw the Quaffle through hoops.
MW,A Grindylow is a water demon.
MW,Harry fought merpeople in the TriWizard Tournament.
MW,Gillyweed can let people breathe under water.
MW,Neville is good at herbology.
MW,Regulus Black was a death eater.
MW,Regulus Black betrayed Lord Voldemort.
MW,Gregorovitch is a wandmaker.
MW,The Gaunt family is descended from Slytherin.
MW,Dolores Umbridge succeeded Dumbledore as Headmaster.
MW,Mad-Eye Moody has one real eye and one magic replacement.
MW,Griphook is a goblin at Gringotts.
MW,Gringotts is the Wizard Bank.
MW,Gobbledegook is the goblin language.
MW,Phineas Nigellus was a headmaster of Hogwarts.
MW,Bathilda Bagshot wrote A History of Magic
MW,Aberforth is Albus's brother.
MW,Peeves is the school poltergeist.
MW,Bellatrix Lestrange murdered Dobby.
MW,Ollivander sells wands in Diagon Alley.
MW,Bellatrix Lestrange murdered Sirius Black.
MW,"Regulus Black cared for his family's elf, Kreacher."
MW,Kreacher gave Harry a box of maggots.
MW,Godric Gryffindor had a magic sword.
MW,Godric's Hollow is named after the founder of Gryffindor.
MW,Voldemort created an army of inferi.
MW,Severus Snape invented the grisly spell Sectumsempra.
MW,There's a troll in the dungeon!
MW,Quirrell put the troll in the dungeon.
MW,Voldemort shared Quirrell's body.
MW,Harry Potter must not go back to Hogwarts!
MW,Ron likes the Chudley Cannons.
MW,Gildroy Lockhart wrote Voyages with Vampires.
MW,The Daily Prophet is a Wizarding tabloid.
MW,Phoenix tears heal injuries.
MW,Fawkes is Professor Dumbledore's phoenix.
MW,Fawkes brought Harry the Sorting Hat in the Chamber of Secrets.
MW,Tom Riddle's diary is a horcrux.
MW,Harry used Gryffindor's sword to fight the Basilisk.
MW,Mrs. Figg is a Squib.
MW,Squibs are muggles born to wizarding parents.
MW,Voldemort killed Cedric Diggory.
MW,Cornelius Fudge was the Minister of Magic.
MW,The Minister for Magic is the British wizarding leader.
MW,Hermione eventually became Minister of Magic.
MW,Kingsley Shacklebolt was also Minister of Magic.
MW,Harry Potter survived the killing curse.
MW,There are three unforigveable curses.
MW,The Cruciatus curse inflicts suffering.
MW,The Imperius curse controls minds.
MW,Avada Kedavra is the killing cure.
MW,The Three Broomsticks is a popular inn.
MW,Blast-ended Skrewts are my favorite magical creature.
MW,Hagrid specially bred the blast-ended skrewts.
MW,Viktor Krum is a profession Quidditch player.
MW,Fenrir Greyback is a werewolf.
MW,Fenrir Greyback served Voldemort.
MW,Voldemort tried to recruit giants for his army.
MW,Igor Karkaroff was a headmaster at Durmstrang.
MW,Igor Karkaroff was killed by his fellow death eaters.
MW,Rita Skeeter writes for the Daily Prophet.
MW,Snape taught Harry Occlumency.
MW,Occlumency is a defense against Legilimency.
MW,Legilimency lets a wizard sees someone's thoughts.
MW,Harry can speak Parseltongue.
MW,Golgomath was a leader of giants.
MW,The leader of a giant colony is called a Gurg.
MW,Hermione hates divinations class.
MW,Professor Trelawney teaches Divinations class.
MW,Professor Trelawney gave the prophecy about Voldemort's defeat.
MW,Professor Trelawney made a lot of predictions.
MW,Some of Sybil Trelawney's predictions came true.
MW,Peter Pettigrew cut off his finger.
MW,Peter Pettigrew turned into a rat called Scabbers.
MW,There is a giant squid in the lake at Hogwarts.
MW,Dumbledore's tomb is on the shore of the lake.
MW,Professor Dumbledore's full name is Albus Percival Wulfric Brian Dumbledore.
MW,Nicolas Flamel created the Philosopher's stone.
MW,Aragog is a tamed Acromantula.
MW,Acromantulas are like giant spiders.
MW,Basilisks can petrify people.
MW,Nicolas Flamel lived for over six hundred years.
MW,Fenrir Greyback infected Remus Lupin with lycanthropy.
MW,Bill Weasley was attacked by Fenrir Greyback.
MW,Bill Weasley almost became a werewolf.
MW,Bill Weasley worked at Gringotts for a time.
MW,Fred Weasley was killed at the Battle of Hogwarts.
MW,There sure are a lot of Weasley children.
MW,Harry saw himself with his parents in the Mirror of Erised.
MW,Dumbledore also saw himself with his family in the Mirror of Erised.
MW,Nagini was Voldemort's snake.
MW,Nagini was also one of Voldemort's horcuxes.
MW,Nevilla Longbottom killed Nagini with Gryffindor's sword.
MW,Professor Slughorn plays favorites with his students.
MW,Harry Potter has his mother's eyes.
MW,Severus Snape is the Half Blood Prince.
MW,Professor Slughorn replaced Professor Snape as head of Slytherin.
MW,Professor Slughorn duelled Lord Voldemort.
MW,Rubeus Hagrid has a flying motorcycle.
MW,Buckbeak is a hippogriff.
MW,Percy Weasley disowned his family.
MW,Dolores Umbmbridge was sentenced to Azkaban.
MW,Hagrid brought Harry Potter a birthday cake.
MW,A Pensieve lets you store and revisit memories.
MW,
MS,Voldemort has seven horcruxes.
MS,I solemly swear that I'm up to no good.
MS,The Marauder's Map is a map of Hogwarts.
MS,Hogwarts is next to a lake.
MS,Students aren't allowed in the Forbidden Forest.
MS,Pictures and paintings can move.
MS,Dumbledore's Army is a student club.
MS,Muggles can't see Dementors.
MS,Gryffindors are brave.
MS,Ravenclaws are intelligent.
MS,Hufflepuffs are loyal.
MS,Slytherins are ambitious.
MS,The Ravenclaw common room in in a tower.
MS,The Hufflepuff common room is near the kitchen.
MS,The Gryffindor common room is in a tower.
MS,The Slytherin common room is in the dungeons.
MS,Moaning Myrtle lives in the bathroom.
MS,Moaning Myrtle was killed by a Basilisk.
MS,Antioch Peverell owned the Elder Wand.
MS,Cadmus Peverell owned the Resurrection Stone.
MS,Ignotus Peverell owned the Cloak of Invisibility.
MS,Felix Felicis is liquid luck.
MS,A Quidditch team consists of seven players.
MS,The Keeper guards the three goal posts.
MS,The Beaters hit Bludgers with bats.
MS,The Chasers try to score with the Quaffle.
MS,The Seeker tries to catch the Golden Snitch.
MS,Scoring with the Quaffle earns a team ten points.
MS,Catching the Snitch earns a team one hundred and fifty points.
MS,Belatrix Lestrange was a prisoner in Azkaban.
MS,Gryffindor's colors are red and gold.
MS,Hufflepuff's colors are yellow and black.
MS,Ravenclaw's colors are blue and bronze.
MS,Slytherin's colors are green and silver.
MS,The Slytherin house ghost is the Bloody Baron.
MS,The Gryffindor house ghost is Nearly Headless Nick.
MS,The Ravenclaw house ghost is the Grey Lady.
MS,The Hufflepuff house ghost is the Fat Friar.
MS,The head of house Hufflepuff is Professor Sprout.
MS,The head of house Gryffindor is Professor McGonagall.
MS,The head of house Slytherin is Professor Snape.
MS,The head of house Ravenclaw is Professor Flitwick
MS,The wand chooses the wizard.
MS,Harry's wand has a phoenix feather core.
MS,Harry fixed his wand with the Elder Wand.
MS,Harry's parents were killed by Voldemort.
MS,Sirius Black is Harry Potter's godfather.
MS,Professor Quirrell served Lord Voldemort.
MS,Professor Lockhart was excellent at Obliviation.
MS,Professor Trelawney taught Divination.
MS,Professor Sinistra taught Astronomy.
MS,Madam Hooch was the Flying instructor.
MS,Hagrid taught Care of Magical Creatures after Professor Kettleburn retired.
MS,Nymphadora Tonks was a Metamorphmagus.
MS,Beauxbatons is the French wizarding school.
MS,Durmstrang is a Scandinavian wizarding school.
MS,Castelobruxo is a wizarding school in South America.
MS,Ilvermorny is the North American wizarding school.
MS,Mahoutokoro is a wizarding school in Japan.
MS,Uagadou is a wizarding school in Uganda.
MS,Thestrals can only be seen by those who have witnessed death.
MS,The Quibbler is a newspaper written by the Lovegoods.
MS,Dobby was the Malfoy family's house elf.
MS,Aragog lives in the Forbidden Forest.
MS,Spiders are afraid of snakes.
MS,Chocolate helps people recover from Dementor exposure.
MS,Dumbledore's patronus was a phoenix.
MS,Fawks was Dumbledore's pet phoenix.
MS,Harry dropped the Resurrection Stone in the Forbidden Forest.
MS,Quirrel fed off of unicorns in the Forbidden Forest.
MS,Harry buried the Elder Wand with Dumbledore.
MS,Harry used the Elder Wand to repair his original wand.
MS,Molly Weasley killed Belatrix Lestrange.
MS,Professor Binns taught History of Magic.
MS,Mad Eye Moody was locked in a chest for a year.
MS,Harry and Ron used polyjuice to turn into Crabbe and Goyle.
MS,Hermione helped Harry and Ron with their homework.
MS,Hermione accidentally used polyjuice with cat hair.
MS,Igor Karkaroff was a Death Eater.
MS,Igor Karkaroff was headmaster of Durmstrang.
MS,Barty Crouch Jr. used polyjuice to masquerade as Moody.
MS,Ron's rat was Peter Pettigrew.
MS,Harry owned an owl named Hedwig.
MS,Owls deliver the mail.
MS,Harry's first broom was a Nimbus 2000.
MS,Harry's broom was destroyed by the Womping Willow.
MS,Sirius Black sent Harry a Firebolt.
MS,Harry and Ron crashed into the Womping Willow.
MS,Dobby sealed the entrance to the train platform.
MS,The Basilisk traveled through Hogwarts using the pipes.
MS,The entrance to the Chamber of Secrets was in a girls' bathroom.
MS,Nagini was Voldemort's pet snake.
MS,Nagini was one of Voldemort's horcruxes.
MS,Tom Riddle's diary was one of Voldemort's horcruxes.
MS,Ravenclaw's diadem was one of Voldemort's horcruxes.
MS,Marvalo Gaunt's ring was one of Voldemort's horcruxes.
MS,Slytherin's locket was one of Voldemort's horcruxes.
MS,Hufflepuff's cup was one of Voldemort's horcruxes.
MS,Harry was one of Voldemort's horcruxes.
MS,Harry destroyed Tom Riddle's diary.
MS,Dumbledore destroyed Gaunt's ring.
MS,Ron destroyed Slytherin's locket.
MS,Hermione destroyed Hufflepuff's cup.
MS,Crabbe destroyed Ravenclaw's diadem.
MS,Neville destroyed Nagini.
MS,Voldemort destroyed the horcrux inside Harry.
MS,Lily Potter's sacrifice protected Harry from Voldemort.
MS,Peter Pettigrew told Voldemort where the Potter family was hiding.
MS,Dumbledore was headmaster of Hogwarts.
MS,Snape was a spy for the Order of the Phoenix.
MS,Both Harry and Neville fit the prophecy.
MS,Neville's parent were tortured until they went crazy.
MS,St. Mungo's is a wizarding hospital.
